assembly_bio_sample_accession	scientific_name	taxonomic_group	genus	family	order	class	taxon_rank	pacbio	nanopore	project	assembly_id_pri	assembly_id_alt	contig_n50_pri	contig_n50_alt	scaffold_n50_pri	scaffold_n50_alt	assembly_name_pri	assembly_name_alt	gcf_pri	gcf_alt	assembly_span_pri	assembly_span_alt	assembly_level_pri	assembly_level_alt	scientific_name_for_timetree
SAMEA104240207	Neostethus bicornis	ray-finned fish	Neostethus	Phallostethidae	Atheriniformes	Actinopteri	species	unknown	unknown	Other	GCA_902685375.1	GCA_902685365.1	23089617	960770	29119677	961046	fNeoBic2.1	fNeoBic2.1 alternate haplotype	NA	NA	778440790	747174145	Chromosome	Scaffold	Neostethus bicornis
SAMEA104240212	Danio aesculapii	ray-finned fish	Danio	Danionidae	Cypriniformes	Actinopteri	species	unknown	unknown	Other	GCA_903798145.1	GCA_903798135.1	1517104	278599	55996547	278724	fDanAes4.1	fDanAes4.1 alternate haplotype	GCF_903798145.1	NA	1381485597	1212462820	Chromosome	Scaffold	Danio aesculapii
SAMEA104242975	Cottoperca gobio	ray-finned fish	Cottoperca	Bovichtidae	Perciformes	Actinopteri	species	unknown	unknown	VGP	GCA_900634415.1	GCA_900634435.1	6330900	107516	25156145	107591	fCotGob3.1	fCotGob3.1 alternate haplotype	GCF_900634415.1	NA	609391784	671265480	Chromosome	Scaffold	Cottoperca gobio
SAMEA104242997	Gymnodraco acuticeps	ray-finned fish	Gymnodraco	Bathydraconidae	Perciformes	Actinopteri	species	unknown	unknown	Other	GCA_902827175.1	GCA_902827185.1	534678	112147	1921211	118975	fGymAcu1.1	fGymAcu1.1 alternate haplotype	GCF_902827175.1	NA	996888495	945243511	Scaffold	Scaffold	Gymnodraco acuticeps
SAMEA104381735	Betta splendens	ray-finned fish	Betta	Osphronemidae	Anabantiformes	Actinopteri	species	true	false	VGP	GCA_900634795.4	GCA_900651605.2	2574972	302508	19821211	325994	fBetSpl5.4	fBetSpl5.4 alternate haplotype	GCF_900634795.4	NA	426984265	441035931	Chromosome	Scaffold	Betta splendens
SAMEA104384834	Takifugu rubripes	ray-finned fish	Takifugu	Tetraodontidae	Tetraodontiformes	Actinopteri	species	unknown	unknown	VGP	GCA_901000725.3	GCA_901000745.3	3136617	266405	16705553	276385	fTakRub1.3	fTakRub1.2 alternate haplotype	NA	NA	384110215	350016965	Chromosome	Scaffold	Takifugu rubripes
SAMEA104384835	Sparus aurata	ray-finned fish	Sparus	Sparidae	Spariformes	Actinopteri	species	unknown	unknown	VGP	GCA_900880675.2	GCA_900880695.1	2862625	152708	35791275	152836	fSpaAur1.2	fSpaAur1.1 alternate haplotype	NA	NA	833578411	668417842	Chromosome	Scaffold	Sparus aurata
SAMEA104387956	Rhinatrema bivittatum	amphibian	Rhinatrema	Rhinatrematidae	Gymnophiona	Amphibia	species	unknown	unknown	VGP	GCA_901001135.2	GCA_901001175.1	3216284	259119	486875112	259119	aRhiBiv1.2	aRhiBiv1.1 alternate haplotype	NA	NA	5319222779	4615304139	Chromosome	Scaffold	Rhinatrema bivittatum
SAMEA104387962	Microcaecilia unicolor	amphibian	Microcaecilia	Siphonopidae	Gymnophiona	Amphibia	species	unknown	unknown	VGP	GCA_901765095.2	GCA_901765105.1	3661507	245207	376147139	245207	aMicUni1.2	aMicUni1.1 alternate haplotype	NA	NA	4685923413	3698322623	Chromosome	Scaffold	Microcaecilia unicolor
SAMEA104387963	Geotrypetes seraphini	amphibian	Geotrypetes	Dermophiidae	Gymnophiona	Amphibia	species	unknown	unknown	VGP	GCA_902459505.2	GCA_902459495.1	20656571	564027	272612222	564027	aGeoSer1.2	aGeoSer1.1 alternate haplotype	NA	NA	3779413726	3271590920	Chromosome	Scaffold	Geotrypetes seraphini
SAMEA10839125	Hyperoodon ampullatus	mammal	Hyperoodon	Ziphiidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_949752795.1	GCA_949752845.1	3126546	201888	117448692	NA	mHypAmp2.1	mHypAmp2.1 alternate haplotype	NA	NA	2828744367	2477781444	Chromosome	Contig	Hyperoodon ampullatus
SAMEA10984647	Solea solea	ray-finned fish	Solea	Soleidae	Pleuronectiformes	Actinopteri	species	true	false	VGP	GCA_958295425.1	GCA_958295035.1	2587297	1111752	29068826	NA	fSolSol10.1	fSolSol10.1 alternate haplotype	GCF_958295425.1	NA	643757955	627818797	Chromosome	Contig	Solea solea
SAMEA110026475	Platichthys flesus	ray-finned fish	Platichthys	Pleuronectidae	Pleuronectiformes	Actinopteri	species	true	false	VGP	GCA_949316205.1	GCA_949316195.1	2078972	742482	26770804	NA	fPlaFle2.1	fPlaFle2.1 alternate haplotype	GCF_949316205.1	NA	597120941	587918088	Chromosome	Contig	Platichthys flesus
SAMEA110056142	Plecotus auritus	mammal	Plecotus	Vespertilionidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_963455305.1	GCA_963455325.1	2948753	1121204	186501726	NA	mPleAur1.1	mPleAur1.1 alternate haplotype	NA	NA	2163204650	2094237481	Chromosome	Contig	Plecotus auritus
SAMEA110137622	Ammodytes marinus	ray-finned fish	Ammodytes	Ammodytidae	Uranoscopiformes	Actinopteri	species	true	false	VGP	GCA_949987685.1	GCA_950004245.1	2041615	540495	31846471	540495	fAmmMar1.1	fAmmMar1.1 alternate haplotype	NA	NA	777819083	756335084	Chromosome	Scaffold	Ammodytes marinus
SAMEA110137623	Argentina silus	ray-finned fish	Argentina	Argentinidae	Argentiniformes	Actinopteri	species	true	false	VGP	GCA_951799395.1	GCA_951799415.1	858168	265682	24540466	NA	fArgSil1.1	fArgSil1.1 alternate haplotype	NA	NA	670749299	550403860	Chromosome	Contig	Argentina silus
SAMEA110450105	Raja brachyura	cartilaginous fish	Raja	Rajidae	Rajiformes	Chondrichthyes	species	true	false	VGP	GCA_963514005.1	GCA_963513955.1	2048057	525117	68366687	NA	sRajBra1.1	sRajBra1.1 alternate haplotype	NA	NA	2700450552	2597179146	Chromosome	Contig	Raja brachyura
SAMEA110450106	Scophthalmus maximus	ray-finned fish	Scophthalmus	Scophthalmidae	Pleuronectiformes	Actinopteri	species	true	false	VGP	GCA_963854745.1	GCA_963854755.1	1410686	435753	26138615	NA	fScoMax1.1	fScoMax1.1 alternate haplotype	NA	NA	550279360	540345941	Chromosome	Contig	Scophthalmus maximus
SAMEA110450232	Scomber scombrus	ray-finned fish	Scomber	Scombridae	Scombriformes	Actinopteri	species	true	false	VGP	GCA_963691925.1	GCA_963691945.1	1496448	369227	31095048	369227	fScoSco1.1	fScoSco1.1 alternate haplotype	GCF_963691925.1	NA	764141294	731363837	Chromosome	Scaffold	Scomber scombrus
SAMEA110690972	Muntiacus reevesi	mammal	Muntiacus	Cervidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_963930625.1	GCA_963930665.1	5780196	1272465	114544513	NA	mMunRee1.1	mMunRee1.1 alternate haplotype	GCF_963930625.1	NA	2656168540	2863788737	Chromosome	Contig	Muntiacus reevesi
SAMEA111380534	Delphinus delphis	mammal	Delphinus	Delphinidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_949987515.2	GCA_949987525.2	3627551	819073	107080983	819300	mDelDel1.2	mDelDel1.2 alternate haplotype	NA	NA	2663516986	2440532866	Chromosome	Scaffold	Delphinus delphis
SAMEA111380536	Phocoena phocoena	mammal	Phocoena	Phocoenidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_963924675.1	GCA_963924725.1	3726689	1056847	110192646	NA	mPhoPho1.1	mPhoPho1.1 alternate haplotype	GCF_963924675.1	NA	2512713112	2673589998	Chromosome	Contig	Phocoena phocoena
SAMEA111380537	Lagenorhynchus albirostris	mammal	Lagenorhynchus	Delphinidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_949774975.1	GCA_949774935.1	3398034	119855	110721866	NA	mLagAlb1.1	mLagAlb1.1 alternate haplotype	GCF_949774975.1	NA	2544819402	2036276931	Chromosome	Contig	Lagenorhynchus albirostris
SAMEA111380538	Globicephala melas	mammal	Globicephala	Delphinidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_963455315.2	GCA_963455345.2	3290841	137938	105087932	NA	mGloMel1.2	mGloMel1.2 alternate haplotype	NA	NA	2651276051	2042593655	Chromosome	Contig	Globicephala melas
SAMEA111380539	Stenella coeruleoalba	mammal	Stenella	Delphinidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_951394435.1	GCA_951394445.1	3590204	2186058	105253534	NA	mSteCoe1.1	mSteCoe1.1 alternate haplotype	NA	NA	2691406842	2485529352	Chromosome	Contig	Stenella coeruleoalba
SAMEA111380540	Balaenoptera acutorostrata	mammal	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_949987535.1	GCA_950005055.1	3015723	228078	116513105	228078	mBalAcu1.1	mBalAcu1.1 alternate haplotype	GCF_949987535.1	NA	2772885358	2590401380	Chromosome	Scaffold	Balaenoptera acutorostrata
SAMEA111406335	Thunnus thynnus	ray-finned fish	Thunnus	Scombridae	Scombriformes	Actinopteri	species	true	false	VGP	GCA_963924715.1	GCA_963924655.1	2956553	773247	34318521	773247	fThuThy2.1	fThuThy2.1 alternate haplotype	GCF_963924715.1	NA	799047066	806472619	Chromosome	Scaffold	Thunnus thynnus
SAMEA111528662	Zootoca vivipara	reptile	Zootoca	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_963506605.1	GCA_963506595.1	3447840	324996	96056580	NA	rZooViv1.1	rZooViv1.1 alternate haplotype	GCF_963506605.1	NA	1440239386	1221338756	Chromosome	Contig	Zootoca vivipara
SAMEA111528664	Lampetra fluviatilis	jawless fish	Lampetra	Petromyzontidae	Petromyzontiformes	Hyperoartia	species	true	false	VGP	GCA_964198595.1	GCA_964198585.1	1289502	460300	13159252	460300	kcLamFluv1.1	kcLamFluv1.1 alternate haplotype	NA	NA	1042458987	939632249	Chromosome	Scaffold	Lampetra fluviatilis
SAMEA111562027	Chelon labrosus	ray-finned fish	Chelon	Mugilidae	Mugiliformes	Actinopteri	species	true	false	VGP	GCA_963514085.1	GCA_963514105.1	2544200	943309	30303911	NA	fCheLab1.1	fCheLab1.1 alternate haplotype	NA	NA	717403240	698748450	Chromosome	Contig	Chelon labrosus
SAMEA111562038	Pollachius pollachius	ray-finned fish	Pollachius	Gadidae	Gadiformes	Actinopteri	species	true	false	VGP	GCA_949987615.1	GCA_949987605.1	606672	249476	27399917	NA	fPolPol2.1	fPolPol2.1 alternate haplotype	NA	NA	606750899	591893695	Chromosome	Contig	Pollachius pollachius
SAMEA111562155	Labrus mixtus	ray-finned fish	Labrus	Labridae	Labriformes	Actinopteri	species	true	false	VGP	GCA_963584025.1	GCA_963583885.1	2678957	756142	30403003	NA	fLabMix1.1	fLabMix1.1 alternate haplotype	GCF_963584025.1	NA	740563171	700699022	Chromosome	Contig	Labrus mixtus
SAMEA111562156	Zeus faber	ray-finned fish	Zeus	Zeidae	Zeiformes	Actinopteri	species	true	false	VGP	GCA_960531495.1	GCA_960530785.1	1449431	331067	34476449	NA	fZeuFab8.1	fZeuFab8.1 alternate haplotype	NA	NA	804715226	809816570	Chromosome	Contig	Zeus faber
SAMEA111562158	Labrus bergylta	ray-finned fish	Labrus	Labridae	Labriformes	Actinopteri	species	true	false	VGP	GCA_963930695.1	GCA_963930765.1	2715806	654451	31261685	654451	fLabBer1.1	fLabBer1.1 alternate haplotype	GCF_963930695.1	NA	720210020	695444047	Chromosome	Scaffold	Labrus bergylta
SAMEA111562159	Eutrigla gurnardus	ray-finned fish	Eutrigla	Triglidae	Perciformes	Actinopteri	species	true	false	VGP	GCA_963514095.1	GCA_963514115.1	2351664	610328	29198404	NA	fEutGur1.1	fEutGur1.1 alternate haplotype	NA	NA	680467048	662358898	Chromosome	Contig	Eutrigla gurnardus
SAMEA111562172	Sardina pilchardus	ray-finned fish	Sardina	Clupeidae	Clupeiformes	Actinopteri	species	true	false	VGP	GCA_963854185.1	GCA_963854175.1	1117303	427866	34617450	33020121	fSarPil1.1	fSarPil1.1 alternate haplotype	GCF_963854185.1	NA	869396467	935120696	Chromosome	Scaffold	Sardina pilchardus
SAMEA111562173	Sprattus sprattus	ray-finned fish	Sprattus	Clupeidae	Clupeiformes	Actinopteri	species	true	false	VGP	GCA_963457725.1	GCA_963457685.1	1216682	404098	33839184	404098	fSprSpr1.1	fSprSpr1.1 alternate haplotype	NA	NA	840315637	803136922	Chromosome	Scaffold	Sprattus sprattus
SAMEA112165298	Mesoplodon bidens	mammal	Mesoplodon	Ziphiidae	Artiodactyla	Mammalia	species	true	false	VGP	GCA_964148845.1	GCA_964165515.1	3262972	3140665	109547138	107252728	mMesBid2.hap2.1	mMesBid2.hap1.1	NA	NA	2732770104	2999082157	Chromosome	Chromosome	Mesoplodon bidens
SAMEA112247422	Vespertilio murinus	mammal	Vespertilio	Vespertilionidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_963924515.1	GCA_963924695.1	3319810	1054976	186292382	NA	mVesMur1.1	mVesMur1.1 alternate haplotype	NA	NA	1925560838	1921745703	Chromosome	Contig	Vespertilio murinus
SAMEA112468034	Aythya ferina	bird	Aythya	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_964211825.1	GCA_964211795.1	4150808	4452486	79844515	77419955	bAytFer1.hap1.1	bAytFer1.hap2.1	NA	NA	1252302973	1103588439	Chromosome	Scaffold	Aythya ferina
SAMEA112468035	Clangula hyemalis	bird	Clangula	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_963989345.1	GCA_963989315.1	3738964	1599958	78069974	1599958	bClaHye2.1	bClaHye2.1 alternate haplotype	NA	NA	1206087415	854027955	Chromosome	Scaffold	Clangula hyemalis
SAMEA112468036	Anas acuta	bird	Anas	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_963932015.1	GCA_963932075.1	3416933	1313441	76435830	1313441	bAnaAcu1.1	bAnaAcu1.1 alternate haplotype	NA	NA	1189296988	1057303051	Chromosome	Scaffold	Anas acuta
SAMEA112468038	Chroicocephalus ridibundus	bird	Chroicocephalus	Laridae	Charadriiformes	Aves	species	true	false	VGP	GCA_963924245.1	GCA_963924255.1	4003687	1745487	83755488	NA	bChrRid1.1	bChrRid1.1 alternate haplotype	GCF_963924245.1	NA	1417554307	1350722057	Chromosome	Contig	Chroicocephalus ridibundus
SAMEA112468039	Larus fuscus	bird	Larus	Laridae	Charadriiformes	Aves	species	true	false	VGP	GCA_963932225.1	GCA_963932325.1	3570916	727947	86500895	NA	bLarFus1.1	bLarFus1.1 alternate haplotype	NA	NA	1324269790	1347999738	Chromosome	Contig	Larus fuscus
SAMEA112468040	Anser brachyrhynchus	bird	Anser	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_964034855.1	GCA_964034845.1	2049950	775240	79251119	NA	bAnsBra1.1	bAnsBra1.1 alternate haplotype	NA	NA	1287320976	1147454305	Chromosome	Contig	Anser brachyrhynchus
SAMEA112468123	Bucephala clangula	bird	Bucephala	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_964059595.1	GCA_964059605.1	4272793	1493867	66356865	NA	bBucCla1.1	bBucCla1.1 alternate haplotype	NA	NA	1190922165	965992559	Chromosome	Contig	Bucephala clangula
SAMEA112468124	Netta rufina	bird	Netta	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_964035555.1	GCA_964035535.1	3347974	1084822	77261329	1084822	bNetRuf1.1	bNetRuf1.1 alternate haplotype	NA	NA	1166961997	968137862	Chromosome	Scaffold	Netta rufina
SAMEA112468126	Neogale vison	mammal	Neogale	Mustelidae	Carnivora	Mammalia	species	true	false	VGP	GCA_964106205.1	GCA_964106545.1	1455681	1439238	217713070	221119109	mNeoVis2.hap2.1	mNeoVis2.hap1.1	NA	NA	2662777898	2697130894	Chromosome	Chromosome	Neogale vison
SAMEA112468127	Talpa europaea	mammal	Talpa	Talpidae	Eulipotyphla	Mammalia	species	true	false	VGP	GCA_964194135.1	GCA_964194205.1	3421604	3507589	136888642	136515677	mTalEur1.hap1.1	mTalEur1.hap2.1	NA	NA	2060984045	2056471431	Chromosome	Scaffold	Talpa europaea
SAMEA112651403	Bombina variegata	amphibian	Bombina	Bombinatoridae	Anura	Amphibia	species	true	false	VGP	GCA_964205295.1	GCA_964205305.1	1741680	1677552	1114117749	1092803421	aBomVar4.maternal.1	aBomVar4.paternal.1	NA	NA	9369772323	9112230460	Chromosome	Chromosome	Bombina variegata
SAMEA112693994	Numenius arquata	bird	Numenius	Scolopacidae	Charadriiformes	Aves	species	true	false	VGP	GCA_964106895.1	GCA_964059295.1	2605715	2824112	63363742	63779631	bNumArq3.hap1.1	bNumArq3.hap2.1	NA	NA	1348859203	1198356613	Chromosome	Scaffold	Numenius arquata
SAMEA112765695	Echiichthys vipera	ray-finned fish	Echiichthys	Trachinidae	Perciformes	Actinopteri	species	true	false	VGP	GCA_963691815.1	GCA_963691805.1	2579157	623936	33039917	623936	fEchVip8.1	fEchVip8.1 alternate haplotype	NA	NA	800381326	738382560	Chromosome	Scaffold	Echiichthys vipera
SAMEA112765706	Limanda limanda	ray-finned fish	Limanda	Pleuronectidae	Pleuronectiformes	Actinopteri	species	true	false	VGP	GCA_963576545.1	GCA_963576525.1	3420448	833236	28632645	NA	fLimLim1.1	fLimLim1.1 alternate haplotype	GCF_963576545.1	NA	717580706	668994872	Chromosome	Contig	Limanda limanda
SAMEA112788961	Blennius ocellaris	ray-finned fish	Blennius	Blenniidae	Blenniiformes	Actinopteri	species	true	false	VGP	GCA_963422515.1	GCA_963422475.1	1116256	231343	29635927	NA	fBleOce1.1	fBleOce1.1 alternate haplotype	NA	NA	728728756	675648630	Chromosome	Contig	Blennius ocellaris
SAMEA112818853	Rhamphochromis sp. 'chilingali'	ray-finned fish	Rhamphochromis	Cichlidae	Cichliformes	Actinopteri	species	true	false	VGP	GCA_963969265.1	GCA_963969275.1	4163600	1057080	39959964	NA	fRhaChi2.1	fRhaChi2.1 alternate haplotype	NA	NA	921167628	738725802	Chromosome	Contig	Rhamphochromis
SAMEA112840270	Rangifer tarandus platyrhynchus	mammal	Rangifer	Cervidae	Artiodactyla	Mammalia	subspecies	true	false	Other EBP	GCA_949782905.1	GCA_951394145.1	22482685	25533000	69829200	64924600	mRanTar1.h1.1	mRanTar1.hap2.1	NA	NA	2971153391	2829814183	Chromosome	Chromosome	Rangifer tarandus
SAMEA112864454	Somateria mollissima	bird	Somateria	Anatidae	Anseriformes	Aves	species	true	false	Other EBP	GCA_951411735.1	GCA_951416345.1	7862886	9245871	77552753	78490558	bSomMol1.h1.1	bSomMol1.h2.1	NA	NA	1205423405	1079261109	Chromosome	Chromosome	Somateria mollissima
SAMEA11296536	Abramis brama	ray-finned fish	Abramis	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	VGP	GCA_963993115.1	GCA_963993125.1	3478172	465033	42794514	465966	fAbrBra2.1	fAbrBra2.1 alternate haplotype	NA	NA	1108201685	1090103032	Chromosome	Scaffold	Abramis brama
SAMEA11296538	Gobio gobio	ray-finned fish	Gobio	Gobionidae	Cypriniformes	Actinopteri	species	true	false	VGP	GCA_949357685.1	GCA_949357705.1	2576923	401248	58069932	401721	fGobGob1.1	fGobGob1.1 alternate haplotype	NA	NA	1460662624	1349092698	Chromosome	Scaffold	Gobio gobio
SAMEA11296540	Barbatula barbatula	ray-finned fish	Barbatula	Nemacheilidae	Cypriniformes	Actinopteri	species	true	false	VGP	GCA_947034865.1	GCA_947034905.1	2654543	606763	24423978	NA	fBarBar1.1	fBarBar1.1 alternate haplotype	NA	NA	617646710	571749702	Chromosome	Contig	Barbatula barbatula
SAMEA11296541	Scardinius erythrophthalmus	ray-finned fish	Scardinius	Leuciscidae	Cypriniformes	Actinopteri	species	true	false	VGP	GCA_964197995.1	GCA_964198005.1	2291051	2185350	44954600	44611761	fScaEry2.hap1.1	fScaEry2.hap2.1	NA	NA	1229649543	1189974144	Chromosome	Scaffold	Scardinius erythrophthalmus
SAMEA11296545	Pungitius pungitius	ray-finned fish	Pungitius	Gasterosteidae	Perciformes	Actinopteri	species	true	false	VGP	GCA_949316345.1	GCA_949316245.1	1362288	532838	21005440	NA	fPunPun2.1	fPunPun2.1 alternate haplotype	GCF_949316345.1	NA	480434100	413337341	Chromosome	Contig	Pungitius pungitius
SAMEA113398833	Anas platyrhynchos	bird	Anas	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_964188345.1	GCA_964188335.1	3518761	3674340	69288905	79761371	bAnaPla2.hap1.1	bAnaPla2.hap2.1	NA	NA	1300232380	1136573142	Chromosome	Scaffold	Anas platyrhynchos
SAMEA113398837	Grus grus	bird	Grus	Gruidae	Gruiformes	Aves	species	true	false	VGP	GCA_964106855.1	GCA_964059345.1	3365458	3591816	83713171	84073833	bGruGru1.hap1.1	bGruGru1.hap2.1	NA	NA	1352263658	1291076428	Chromosome	Scaffold	Grus grus
SAMEA113398840	Vulpes vulpes	mammal	Vulpes	Canidae	Carnivora	Mammalia	species	true	false	VGP	GCA_964106925.2	GCA_964106825.2	2052204	2040520	139452099	139235879	mVulVul1.hap2.2	mVulVul1.hap1.2	NA	NA	2398532178	2411710590	Chromosome	Chromosome	Vulpes vulpes
SAMEA113398854	Anser anser	bird	Anser	Anatidae	Anseriformes	Aves	species	true	false	VGP	GCA_964211835.1	GCA_964211785.1	2674135	2662746	78965412	67215310	bAnsAns1.hap1.1	bAnsAns1.hap2.1	NA	NA	1313438308	1168290161	Chromosome	Chromosome	Anser anser
SAMEA113398958	Gallinula chloropus	bird	Gallinula	Rallidae	Gruiformes	Aves	species	true	false	VGP	GCA_964237585.1	GCA_964237395.1	3673000	4021985	90336355	87261367	bGalChl1.hap1.1	bGalChl1.hap2.1	NA	NA	1282394494	1208559276	Chromosome	Scaffold	Gallinula chloropus
SAMEA113902670	Cetorhinus maximus	cartilaginous fish	Cetorhinus	Alopiidae	Lamniformes	Chondrichthyes	species	true	false	VGP	GCA_964194155.1	GCA_964194165.1	1961965	2087228	126028485	127927789	sCetMax3.hap1.1	sCetMax3.hap2.1	NA	NA	3993849873	3817333378	Chromosome	Scaffold	Cetorhinus maximus
SAMEA113980738	Miniopterus schreibersii	mammal	Miniopterus	Miniopteridae	Chiroptera	Mammalia	species	true	false	VGP	GCA_964146895.1	GCA_964145185.1	2292542	2346505	86279620	84995947	mMinSch1.hap1.1	mMinSch1.hap2.1	NA	NA	1852111220	1693881420	Chromosome	Scaffold	Miniopterus schreibersii
SAMEA113980802	Rhinolophus hipposideros	mammal	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	species	true	false	VGP	GCA_964194185.1	GCA_964194215.1	2014157	1922115	88364482	89090646	mRhiHip2.hap1.1	mRhiHip2.hap2.1	NA	NA	2171311786	2240459116	Chromosome	Scaffold	Rhinolophus hipposideros
SAMEA114211328	Larus michahellis	bird	Larus	Laridae	Charadriiformes	Aves	species	true	false	VGP	GCA_964199755.1	GCA_964199725.1	4216312	943881	87713602	NA	bLarMic1.1	bLarMic1.1 alternate haplotype	NA	NA	1405564706	1288358057	Chromosome	Contig	Larus michahellis
SAMEA114217796	Podarcis gaigeae	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964106915.1	GCA_964106785.1	2858450	3102815	91932266	91280916	rPodGai1.hap1.1	rPodGai1.hap2.1	NA	NA	1514623329	1422314362	Chromosome	Chromosome	Podarcis gaigeae
SAMEA114217797	Podarcis pityusensis	reptile	Podarcis	Lacertidae	Squamata	Lepidosauria	species	true	false	VGP	GCA_964106635.2	GCA_964106645.2	1719006	1611619	92418909	91584625	rPodPit1.hap2.2	rPodPit1.hap1.2	NA	NA	1417079496	1515356318	Chromosome	Chromosome	Podarcis pityusensis
