scientific_name	assembly_id	gcf	assembly_category	assembly_bio_sample_accession	assembly_name	contig_n50	scaffold_n50	last_updated	taxon_id	taxon_rank	assembly_id_no_version	version	synonym	tolid_prefix	common_name	subspecies	species	genus	family	order	class	qv_score	assigned_percent	assembly_span	ungapped_span	contig_l50	scaffold_l50	contig_count	scaffold_count	chromosome_count	sequence_count	gc_percent	n_percent	source_accession	bioproject	assembly_level	sample_sex	refseq_category	submitter	gene_count	protein_count	busco_completeness	busco_lineage	busco_string	project	assembly_bio_project_accession	assembly_sequencing_tech	pacbio	nanopore	taxonomic_group
Thalassophryne amazonica	GCA_902500245.1	NA	alt	SAMEA104129913	fThaAma1.1 alternate haplotype	119171	119214	2019-09-30	390379	species	GCA_902500245	1	NA	NA	NA	NA	Thalassophryne amazonica	Thalassophryne	Batrachoididae	Batrachoidiformes	Actinopteri	NA	NA	1767810094	1767809846	4595	4594	19587	19579	NA	19579	42	NA	NA	PRJEB34605;PRJEB34607;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB34605	NA	unknown	unknown	bony fish
Denticeps clupeoides	GCA_900700375.2	NA	pri	SAMEA104129917	fDenClu1.2	3059612	22793177	2020-07-31	299321	species	GCA_900700375	2	[""Acanthothrissa palimptera""]	[""fDenClu""]	[""denticle herring""]	NA	Denticeps clupeoides	Denticeps	Denticipitidae	Clupeiformes	Actinopteri	NA	91.2	567401054	562752667	53	9	924	460	20	460	43.33	0.8200000000000001	NA	PRJEB31545;PRJEB31550;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	NA	NA	94.6	actinopterygii_odb10	C:94.6%[S:88.0%,D:6.6%],F:2.0%,M:3.4%,n:3640	VGP	PRJEB31545	NA	unknown	unknown	bony fish
Denticeps clupeoides	GCA_900700345.2	NA	alt	SAMEA104129917	fDenClu1.1 alternate haplotype	384267	384267	2019-03-27	299321	species	GCA_900700345	2	[""Acanthothrissa palimptera""]	[""fDenClu""]	[""denticle herring""]	NA	Denticeps clupeoides	Denticeps	Denticipitidae	Clupeiformes	Actinopteri	NA	NA	457704509	457704283	334	334	1976	1972	NA	1972	43.51	0	NA	PRJEB31546;PRJEB31550;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	85	actinopterygii_odb9	C:85.0%[S:80.8%,D:4.2%],F:3.7%,M:11.3%,n:4584	VGP	PRJEB31546	NA	unknown	unknown	bony fish
Danio kyathit	GCA_903798195.1	NA	pri	SAMEA104130240	fDanKya3.1	1264270	64228523	2020-06-27	242068	species	GCA_903798195	1	[""Danio kyathit""]	[""fDanKya""]	NA	NA	Danio kyathit	Danio	Danionidae	Cypriniformes	Actinopteri	NA	95.85	1708446541	1665289323	376	12	3259	739	25	739	35.94	2.53	NA	PRJEB38580;PRJEB38581;PRJEB38594	Chromosome	female	representative genome	SC	NA	NA	96	actinopterygii_odb10	C:96.0%[S:94.1%,D:1.9%],F:1.0%,M:3.0%,n:3640	Other	PRJEB38580	NA	unknown	unknown	bony fish
Danio kyathit	GCA_903798155.1	NA	alt	SAMEA104130240	fDanKya3.1 alternate haplotype	419190	420079	2020-06-16	242068	species	GCA_903798155	1	[""Danio kyathit striped""]	NA	NA	NA	Danio kyathit	Danio	Danionidae	Cypriniformes	Actinopteri	NA	NA	1550397046	1549781837	1111	1109	6256	6250	NA	6250	36.5	NA	NA	PRJEB38579;PRJEB38581;PRJEB38594	Scaffold	female	NA	SC	NA	NA	NA	NA	NA	Other	PRJEB38579	NA	unknown	unknown	bony fish
Harpagifer antarcticus	GCA_902827135.1	NA	pri	SAMEA104132831	fHarAnt1.1	1048452	4997231	2020-04-15	43256	species	GCA_902827135	1	[""Harpagifer antarcticus""]	[""fHarAnt""]	[""Antarctic spiny plunderfish""]	NA	Harpagifer antarcticus	Harpagifer	Harpagiferidae	Perciformes	Actinopteri	NA	NA	941503312	941390276	246	54	2579	1541	NA	1541	41.82	0.01	NA	PRJEB37645;PRJEB37646	Scaffold	NA	representative genome	SC	NA	NA	94.1	actinopterygii_odb10	C:94.1%[S:92.5%,D:1.6%],F:1.2%,M:4.7%,n:3640	Other	PRJEB37645	NA	unknown	unknown	bony fish
Harpagifer antarcticus	GCA_902827095.1	NA	alt	SAMEA104132831	fHarAnt1.1 alternate haplotype	157921	167204	2020-04-15	43256	species	GCA_902827095	1	[""Harpagifer bispinis antarcticus""]	NA	NA	NA	Harpagifer antarcticus	Harpagifer	Harpagiferidae	Perciformes	Actinopteri	NA	NA	908431605	908422778	1739	1635	8462	8105	NA	8105	41.5	NA	NA	PRJEB37644;PRJEB37646	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	Other	PRJEB37644	NA	unknown	unknown	bony fish
Trematomus bernacchii	GCA_902827165.1	GCF_902827165.1	pri	SAMEA104132834	fTreBer1.1	1402669	8748152	2020-04-15	40690	species	GCA_902827165	1	[""Trematomus bernacchi""]	NA	NA	NA	Trematomus bernacchii	Trematomus	Nototheniidae	Perciformes	Actinopteri	NA	NA	867125071	867007390	160	27	1793	864	NA	864	41	NA	NA	PRJEB37642;PRJEB37643	Scaffold	NA	representative genome	SC	32112	25524	NA	NA	NA	Other	PRJEB37642	NA	unknown	unknown	bony fish
Trematomus bernacchii	GCA_902827105.1	NA	alt	SAMEA104132834	fTreBer1.1 alternate haplotype	176545	190305	2020-04-15	40690	species	GCA_902827105	1	[""Trematomus bernacchi""]	NA	NA	NA	Trematomus bernacchii	Trematomus	Nototheniidae	Perciformes	Actinopteri	NA	NA	950296928	950286462	1490	1368	8206	7825	NA	7825	41	NA	NA	PRJEB37641;PRJEB37643	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	Other	PRJEB37641	NA	unknown	unknown	bony fish
Neostethus bicornis	GCA_902685375.1	NA	pri	SAMEA104240207	fNeoBic2.1	23089617	29119677	2019-11-26	300306	species	GCA_902685375	1	NA	NA	NA	NA	Neostethus bicornis	Neostethus	Phallostethidae	Atheriniformes	Actinopteri	NA	95.62	778440790	778423237	14	12	213	107	24	107	40.5	NA	NA	PRJEB35383;PRJEB35384	Chromosome	NA	representative genome	SC	NA	NA	NA	NA	NA	Other	PRJEB35383	NA	unknown	unknown	bony fish
Neostethus bicornis	GCA_902685365.1	NA	alt	SAMEA104240207	fNeoBic2.1 alternate haplotype	960770	961046	2019-11-26	300306	species	GCA_902685365	1	NA	NA	NA	NA	Neostethus bicornis	Neostethus	Phallostethidae	Atheriniformes	Actinopteri	NA	NA	747174145	747174114	215	215	1484	1483	NA	1483	40.5	NA	NA	PRJEB35382;PRJEB35384	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	Other	PRJEB35382	NA	unknown	unknown	bony fish
Danio aesculapii	GCA_903798145.1	GCF_903798145.1	pri	SAMEA104240212	fDanAes4.1	1517104	55996547	2020-06-27	1142201	species	GCA_903798145	1	[""Danio aesculapii""]	[""fDanAes""]	NA	NA	Danio aesculapii	Danio	Danionidae	Cypriniformes	Actinopteri	NA	NA	1381485597	1365168914	252	12	2163	342	25	342	35.9	1.18	NA	PRJEB38583;PRJEB38584;PRJEB38594	Chromosome	female	representative genome	SC	34673	24964	95.2	actinopterygii_odb10	C:95.2%[S:94.0%,D:1.3%],F:1.0%,M:3.7%,n:3640	Other	PRJEB38583	NA	unknown	unknown	bony fish
Danio aesculapii	GCA_903798135.1	NA	alt	SAMEA104240212	fDanAes4.1 alternate haplotype	278599	278724	2020-06-16	1142201	species	GCA_903798135	1	[""Danio sp. snakeskin""]	NA	NA	NA	Danio aesculapii	Danio	Danionidae	Cypriniformes	Actinopteri	NA	NA	1212462820	1212460119	1341	1339	6685	6676	NA	6676	36.5	NA	NA	PRJEB38582;PRJEB38584;PRJEB38594	Scaffold	female	NA	SC	NA	NA	NA	NA	NA	Other	PRJEB38582	NA	unknown	unknown	bony fish
Cottoperca gobio	GCA_900634415.1	GCF_900634415.1	pri	SAMEA104242975	fCotGob3.1	6330900	25156145	2019-02-06	56716	species	GCA_900634415	1	[""Cottoperca gobio""]	[""fCotGob""]	NA	NA	Cottoperca gobio	Cottoperca	Bovichtidae	Perciformes	Actinopteri	NA	NA	609391784	606837818	27	11	766	322	24	322	40.96	0.42	NA	PRJEB30248;PRJEB30272;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	25595	21272	92.8	actinopterygii_odb9	C:92.8%[S:90.2%,D:2.7%],F:2.2%,M:4.9%,n:4584	VGP	PRJEB30248	NA	unknown	unknown	bony fish
Cottoperca gobio	GCA_900634435.1	NA	alt	SAMEA104242975	fCotGob3.1 alternate haplotype	107516	107591	2019-02-07	56716	species	GCA_900634435	1	[""Cottoperca gobio""]	[""fCotGob""]	NA	NA	Cottoperca gobio	Cottoperca	Bovichtidae	Perciformes	Actinopteri	NA	NA	671265480	671264555	1403	1402	11565	11555	NA	11555	40.96	0	NA	PRJEB30256;PRJEB30272;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	80.60000000000001	actinopterygii_odb9	C:80.6%[S:65.3%,D:15.3%],F:4.2%,M:15.2%,n:4584	VGP	PRJEB30256	NA	unknown	unknown	bony fish
Gymnodraco acuticeps	GCA_902827175.1	GCF_902827175.1	pri	SAMEA104242997	fGymAcu1.1	534678	1921211	2020-04-15	8218	species	GCA_902827175	1	[""Gymnodraco victori""]	[""fGymAcu""]	NA	NA	Gymnodraco acuticeps	Gymnodraco	Bathydraconidae	Perciformes	Actinopteri	NA	NA	996888495	996695919	503	132	4183	2618	NA	2618	41.52	0.02	NA	PRJEB37639;PRJEB37640	Scaffold	NA	representative genome	SC	30850	24925	93.4	actinopterygii_odb10	C:93.4%[S:92.3%,D:1.2%],F:1.3%,M:5.3%,n:3640	Other	PRJEB37639	NA	unknown	unknown	bony fish
Gymnodraco acuticeps	GCA_902827185.1	NA	alt	SAMEA104242997	fGymAcu1.1 alternate haplotype	112147	118975	2020-04-15	8218	species	GCA_902827185	1	NA	NA	NA	NA	Gymnodraco acuticeps	Gymnodraco	Bathydraconidae	Perciformes	Actinopteri	NA	NA	945243511	945230867	2527	2366	11881	11489	NA	11489	41.5	NA	NA	PRJEB37638;PRJEB37640	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	Other	PRJEB37638	NA	unknown	unknown	bony fish
Betta splendens	GCA_900634795.4	GCF_900634795.4	pri	SAMEA104381735	fBetSpl5.4	2574972	19821211	2023-03-10	158456	species	GCA_900634795	4	NA	NA	NA	NA	Betta splendens	Betta	Osphronemidae	Anabantiformes	Actinopteri	NA	NA	426984265	426952799	46	9	351	35	21	35	45.5	NA	NA	PRJEB30365;PRJEB30367;PRJNA489243;PRJNA533106	Chromosome	male	representative genome	Wellcome Sanger Institute	28938	22791	NA	NA	NA	VGP	PRJEB30365	PacBio,Illumina	true	false	bony fish
Betta splendens	GCA_900651605.2	NA	alt	SAMEA104381735	fBetSpl5.4 alternate haplotype	302508	325994	2023-04-08	158456	species	GCA_900651605	2	NA	NA	NA	NA	Betta splendens	Betta	Osphronemidae	Anabantiformes	Actinopteri	NA	NA	441035931	441033012	320	308	3872	3764	NA	3764	45.5	NA	NA	PRJEB30366;PRJEB30367;PRJNA489243;PRJNA533106	Scaffold	male	NA	Wellcome Sanger Institute	NA	NA	NA	NA	NA	VGP	PRJEB30366	PacBio,Illumina	true	false	bony fish
Takifugu rubripes	GCA_901000725.3	NA	pri	SAMEA104384834	fTakRub1.3	3136617	16705553	2021-04-24	31033	species	GCA_901000725	3	[""Fugu rubripes rubripes""]	[""fTakRub""]	[""Torafugu, pufferfish""]	NA	Takifugu rubripes	Takifugu	Tetraodontidae	Tetraodontiformes	Actinopteri	NA	96.35	384110215	380421686	35	10	529	127	22	127	45.24	0.96	NA	PRJEB31988;PRJEB31991;PRJNA489243;PRJNA533106	Chromosome	male	representative genome	Wellcome Sanger Institute	NA	NA	96.9	actinopterygii_odb10	C:96.9%[S:94.4%,D:2.5%],F:0.6%,M:2.5%,n:3640	VGP	PRJEB31988	NA	unknown	unknown	bony fish
Takifugu rubripes	GCA_901000745.3	NA	alt	SAMEA104384834	fTakRub1.2 alternate haplotype	266405	276385	2019-06-05	31033	species	GCA_901000745	3	[""Fugu rubripes rubripes""]	[""fTakRub""]	[""Torafugu, pufferfish""]	NA	Takifugu rubripes	Takifugu	Tetraodontidae	Tetraodontiformes	Actinopteri	NA	NA	350016965	349391697	360	350	2050	2012	NA	2012	45.61	0.18	NA	PRJEB31989;PRJEB31991;PRJNA489243;PRJNA533106	Scaffold	male	NA	SC	NA	NA	90.6	actinopterygii_odb9	C:90.6%[S:86.0%,D:4.6%],F:2.5%,M:6.9%,n:4584	VGP	PRJEB31989	NA	unknown	unknown	bony fish
Sparus aurata	GCA_900880675.2	NA	pri	SAMEA104384835	fSpaAur1.2	2862625	35791275	2021-04-24	8175	species	GCA_900880675	2	[""Sparus auratus""]	NA	NA	NA	Sparus aurata	Sparus	Sparidae	Spariformes	Actinopteri	NA	98.19	833578411	833236149	75	11	1223	175	24	175	42	NA	NA	PRJEB31901;PRJEB31904;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	Wellcome Sanger Institute	NA	NA	NA	NA	NA	VGP	PRJEB31901	NA	unknown	unknown	bony fish
Sparus aurata	GCA_900880695.1	NA	alt	SAMEA104384835	fSpaAur1.1 alternate haplotype	152708	152836	2019-07-11	8175	species	GCA_900880695	1	[""Sparus auratus""]	NA	NA	NA	Sparus aurata	Sparus	Sparidae	Spariformes	Actinopteri	NA	NA	668417842	668417310	1184	1184	7241	7239	NA	7239	42	NA	NA	PRJEB31902;PRJEB31904;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB31902	NA	unknown	unknown	bony fish
Rhinatrema bivittatum	GCA_901001135.2	NA	pri	SAMEA104387956	aRhiBiv1.2	3216284	486875112	2021-04-24	194408	species	GCA_901001135	2	[""Rhinatrema bivitattum""]	NA	NA	NA	Rhinatrema bivittatum	Rhinatrema	Rhinatrematidae	Gymnophiona	Amphibia	NA	97.36	5319222779	5285266948	489	4	4900	1329	19	1329	44.5	NA	NA	PRJEB32111;PRJEB32113;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	Wellcome Sanger Institute	NA	NA	NA	NA	NA	VGP	PRJEB32111	NA	unknown	unknown	amphibian
Rhinatrema bivittatum	GCA_901001175.1	NA	alt	SAMEA104387956	aRhiBiv1.1 alternate haplotype	259119	259119	2019-06-02	194408	species	GCA_901001175	1	[""Rhinatrema bivitattum""]	NA	NA	NA	Rhinatrema bivittatum	Rhinatrema	Rhinatrematidae	Gymnophiona	Amphibia	NA	NA	4615304139	4615304076	5016	5016	27233	27231	NA	27231	44.5	NA	NA	PRJEB32112;PRJEB32113;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB32112	NA	unknown	unknown	amphibian
Microcaecilia unicolor	GCA_901765095.2	NA	pri	SAMEA104387962	aMicUni1.2	3661507	376147139	2021-04-24	1415580	species	GCA_901765095	2	[""Rhinatrema unicolor""]	NA	NA	NA	Microcaecilia unicolor	Microcaecilia	Siphonopidae	Gymnophiona	Amphibia	NA	97.06	4685923413	4638486146	366	4	3529	1080	14	1080	44	NA	NA	PRJEB32737;PRJEB32739;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	Wellcome Sanger Institute	NA	NA	NA	NA	NA	VGP	PRJEB32737	NA	unknown	unknown	amphibian
Microcaecilia unicolor	GCA_901765105.1	NA	alt	SAMEA104387962	aMicUni1.1 alternate haplotype	245207	245207	2019-07-08	1415580	species	GCA_901765105	1	[""Rhinatrema unicolor""]	NA	NA	NA	Microcaecilia unicolor	Microcaecilia	Siphonopidae	Gymnophiona	Amphibia	NA	NA	3698322623	3698322592	4495	4495	23871	23870	NA	23870	44	NA	NA	PRJEB32738;PRJEB32739;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB32738	NA	unknown	unknown	amphibian
Geotrypetes seraphini	GCA_902459505.2	NA	pri	SAMEA104387963	aGeoSer1.2	20656571	272612222	2021-04-24	260995	species	GCA_902459505	2	[""Geotrypetes seraphini""]	[""aGeoSer""]	[""Gaboon caecilian""]	NA	Geotrypetes seraphini	Geotrypetes	Dermophiidae	Gymnophiona	Amphibia	NA	99.85	3779413726	3773911013	53	5	596	163	19	163	43.18	0.15	NA	PRJEB33992;PRJEB33993;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	Wellcome Sanger Institute	NA	NA	91.4	tetrapoda_odb10	C:91.4%[S:89.5%,D:1.9%],F:2.9%,M:5.7%,n:5310	VGP	PRJEB33992	NA	unknown	unknown	amphibian
Geotrypetes seraphini	GCA_902459495.1	NA	alt	SAMEA104387963	aGeoSer1.1 alternate haplotype	564027	564027	2019-08-18	260995	species	GCA_902459495	1	[""Hypogeophis seraphini""]	NA	NA	NA	Geotrypetes seraphini	Geotrypetes	Dermophiidae	Gymnophiona	Amphibia	NA	NA	3271590920	3271590890	1829	1829	9651	9650	NA	9650	43	NA	NA	PRJEB33991;PRJEB33993;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	NA	NA	NA	VGP	PRJEB33991	NA	unknown	unknown	amphibian
Hyperoodon ampullatus	GCA_949752795.1	NA	pri	SAMEA10839125	mHypAmp2.1	3126546	117448692	2023-04-08	48744	species	GCA_949752795	1	[""Delphinus hyperoodon""]	[""mHypAmp""]	[""Northern bottlenose whale""]	NA	Hyperoodon ampullatus	Hyperoodon	Ziphiidae	Artiodactyla	Mammalia	NA	89.23	2828744367	2828524767	266	9	1854	756	21	756	41.81	0.01	NA	PRJEB40665;PRJEB43510;PRJEB60010;PRJEB60895;PRJNA1020146;PRJNA489243;PRJNA533106	Chromosome	female	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	94.8	cetartiodactyla_odb10	C:94.8%[S:92.2%,D:2.6%],F:1.0%,M:4.2%,n:13335	VGP	PRJEB60895	PacBio,Arima2	true	false	mammal
Hyperoodon ampullatus	GCA_949752845.1	NA	alt	SAMEA10839125	mHypAmp2.1 alternate haplotype	201888	NA	2023-04-09	48744	species	GCA_949752845	1	[""Balaena ampullata""]	NA	NA	NA	Hyperoodon ampullatus	Hyperoodon	Ziphiidae	Artiodactyla	Mammalia	NA	NA	2477781444	2477781444	3145	NA	23401	NA	NA	23401	41.5	NA	NA	PRJEB40665;PRJEB43510;PRJEB60010;PRJEB60894;PRJNA1020146;PRJNA489243;PRJNA533106	Contig	female	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB60894	PacBio,Arima2	true	false	mammal
Solea solea	GCA_958295425.1	GCF_958295425.1	pri	SAMEA10984647	fSolSol10.1	2587297	29068826	2023-07-06	90069	species	GCA_958295425	1	[""Solea vulgaris typica""]	[""fSolSol""]	[""Common sole""]	NA	Solea solea	Solea	Soleidae	Pleuronectiformes	Actinopteri	NA	NA	643757955	643683355	77	10	615	242	21	242	40.87	0.01	NA	PRJEB43510;PRJEB47820;PRJEB61337;PRJEB63669;PRJNA489243;PRJNA533106	Chromosome	female	representative genome	WELLCOME SANGER INSTITUTE	37145	22383	98.3	actinopterygii_odb10	C:98.3%[S:97.2%,D:1.1%],F:0.5%,M:1.2%,n:3640	VGP	PRJEB63669	PacBio,Arima2	true	false	bony fish
Solea solea	GCA_958295035.1	NA	alt	SAMEA10984647	fSolSol10.1 alternate haplotype	1111752	NA	2023-07-06	90069	species	GCA_958295035	1	[""Solea vulgaris""]	NA	NA	NA	Solea solea	Solea	Soleidae	Pleuronectiformes	Actinopteri	NA	NA	627818797	627818797	174	NA	1318	NA	NA	1318	41	NA	NA	PRJEB43510;PRJEB47820;PRJEB61337;PRJEB63670;PRJNA489243;PRJNA533106	Contig	female	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB63670	PacBio,Arima2	true	false	bony fish
