"","assembly_bio_sample_accession","scientific_name","assembly_id_pri","taxonomic_group","assemblyInfo_biosample_geoLocName","assemblyInfo_biosample_latLon","assemblyInfo_comments","geo_location","latlon","lat","lon"
"20","SAMEA104387963","Geotrypetes seraphini","GCA_902459505.2","amphibian",NA,NA,"The assembly aGeoSer1.2 is based on 67x PacBio data, 28x 10X Genomics Chromium data, BioNano data and 20x Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,NA,NA
"21","SAMEA10839125","Hyperoodon ampullatus","GCA_949752795.1","mammal","Canada",NA,"The assembly mHypAmp2.1 is based on 28x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The X chromosome was identified based on alignment with Mesoplodon densirostris (GCA_025265405.1). The order and orientation of contigs in the following regions is uncertain: SUPER_2, 131 Mb to 140 Mb; SUPER_6, 91 Mb to 102 Mb and SUPER_7, 76 Mb to 81 Mb.","Canada",NA,61.0666922,-107.991707
"22","SAMEA10984647","Solea solea","GCA_958295425.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"23","SAMEA110026475","Platichthys flesus","GCA_949316205.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"24","SAMEA110056142","Plecotus auritus","GCA_963455305.1","mammal","United Kingdom",NA,"The assembly mPleAur1.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosome X was assigned based on synteny to GCA_949987585.1","United Kingdom",NA,54.7023545,-3.2765753
"25","SAMEA110137622","Ammodytes marinus","GCA_949987685.1","ray-finned fish","Faroe Islands",NA,"The assembly fAmmMar1.1 is based on 58x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation.","Faroe Islands",NA,62.1988704,-6.8178451
"26","SAMEA110137623","Argentina silus","GCA_951799395.1","ray-finned fish","Faroe Islands",NA,"The assembly fArgSil1.1 is based on 84x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. Sex chromosomes were annotated based on coverage statistics as well as synteny to GCF_016920845.1","Faroe Islands",NA,62.1988704,-6.8178451
"27","SAMEA110450105","Raja brachyura","GCA_963514005.1","cartilaginous fish","United Kingdom",NA,"The assembly sRajBra1.1 is based on 33x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. X chromosome identified based on synteny with Carcharodon carcharias (GCA_017639515.1) and Hypanus sabinus (GCA_030144855.1).","United Kingdom",NA,54.7023545,-3.2765753
"28","SAMEA110450106","Scophthalmus maximus","GCA_963854745.1","ray-finned fish","United Kingdom",NA,"The assembly fScoMax1.1 is based on 41x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"29","SAMEA110450232","Scomber scombrus","GCA_963691925.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"30","SAMEA110690972","Muntiacus reevesi","GCA_963930625.1","mammal",NA,NA,NA,NA,NA,NA,NA
"31","SAMEA111380534","Delphinus delphis","GCA_949987515.2","mammal","United Kingdom",NA,"The assembly mDelDel1.2 is based on 29x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"32","SAMEA111380536","Phocoena phocoena","GCA_963924675.1","mammal",NA,NA,NA,NA,NA,NA,NA
"33","SAMEA111380537","Lagenorhynchus albirostris","GCA_949774975.1","mammal",NA,NA,NA,NA,NA,NA,NA
"34","SAMEA111380538","Globicephala melas","GCA_963455315.2","mammal","United Kingdom",NA,"The assembly mGloMel1.2 is based on 29x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes X and Y were assigned by read coverage statistics and synteny to GCA_949987515.1","United Kingdom",NA,54.7023545,-3.2765753
"35","SAMEA111380539","Stenella coeruleoalba","GCA_951394435.1","mammal","United Kingdom",NA,"The assembly mSteCoe1.1 is based on 35x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The order and orientation of contigs in the following regions is uncertain: SUPER_6, 20 Mb to 33 Mb and SUPER_4, 87 Mb to 99 Mb.","United Kingdom",NA,54.7023545,-3.2765753
"36","SAMEA111380540","Balaenoptera acutorostrata","GCA_949987535.1","mammal",NA,NA,NA,NA,NA,NA,NA
"37","SAMEA111406335","Thunnus thynnus","GCA_963924715.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"38","SAMEA111528662","Zootoca vivipara","GCA_963506605.1","reptile",NA,NA,NA,NA,NA,NA,NA
"39","SAMEA111528664","Lampetra fluviatilis","GCA_964198595.1","jawless fish","United Kingdom",NA,"The assembly kcLamFluv1.1 is based on 36x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"40","SAMEA111562027","Chelon labrosus","GCA_963514085.1","ray-finned fish","United Kingdom",NA,"The assembly fCheLab1.1 is based on 27x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"41","SAMEA111562038","Pollachius pollachius","GCA_949987615.1","ray-finned fish","United Kingdom",NA,"The assembly fPolPol2.1 is based on 88x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"42","SAMEA111562155","Labrus mixtus","GCA_963584025.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"43","SAMEA111562156","Zeus faber","GCA_960531495.1","ray-finned fish","United Kingdom",NA,"The assembly fZeuFab8.1 is based on 43x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"44","SAMEA111562158","Labrus bergylta","GCA_963930695.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"45","SAMEA111562159","Eutrigla gurnardus","GCA_963514095.1","ray-finned fish","United Kingdom",NA,"The assembly fEutGur1.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"46","SAMEA111562172","Sardina pilchardus","GCA_963854185.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"47","SAMEA111562173","Sprattus sprattus","GCA_963457725.1","ray-finned fish","United Kingdom",NA,"The assembly fSprSpr1.1 is based on 62x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"48","SAMEA112165298","Mesoplodon bidens","GCA_964148845.1","mammal","Sweden",NA,"The assembly mMesBid2.hap2.1 is based on 57x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. the sex chromosomes were identified by read coverage and homology to Mesoplodon densirostris / mMesDen1.","Sweden",NA,59.6749712,14.5208584
"49","SAMEA112247422","Vespertilio murinus","GCA_963924515.1","mammal","Belgium",NA,"The assembly mVesMur1.1 is based on 44x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","Belgium",NA,50.6402809,4.6667145
"50","SAMEA112468034","Aythya ferina","GCA_964211825.1","bird","United Kingdom",NA,"The assembly bAytFer1.hap1.1 is based on 122x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were assigned by read coverage","United Kingdom",NA,54.7023545,-3.2765753
"51","SAMEA112468035","Clangula hyemalis","GCA_963989345.1","bird","United Kingdom",NA,"The assembly bClaHye2.1 is based on 43x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"52","SAMEA112468036","Anas acuta","GCA_963932015.1","bird","United Kingdom",NA,"The assembly bAnaAcu1.1 is based on 28x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The reported karyotype for this species is n=40. Only 37 autosomes could be confidently assigned during curation.","United Kingdom",NA,54.7023545,-3.2765753
"53","SAMEA112468038","Chroicocephalus ridibundus","GCA_963924245.1","bird",NA,NA,NA,NA,NA,NA,NA
"54","SAMEA112468039","Larus fuscus","GCA_963932225.1","bird","United Kingdom",NA,"The assembly bLarFus1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Z chromosome identified based on alignment with chicken (GCF_016699485.2).","United Kingdom",NA,54.7023545,-3.2765753
"55","SAMEA112468040","Anser brachyrhynchus","GCA_964034855.1","bird","United Kingdom",NA,"The assembly bAnsBra1.1 is based on 38x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Note that the PAR region is collapsed and represented on Chromosome W only.","United Kingdom",NA,54.7023545,-3.2765753
"56","SAMEA112468123","Bucephala clangula","GCA_964059595.1","bird","United Kingdom",NA,"The assembly bBucCla1.1 is based on 45x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
